white,black,result,termination,moves,moves_count,white_moves_count,black_moves_count,game_time,white_average_search_time,white_search_time,black_average_search_time,black_search_time
random_v1,minimax_depth_2,0-1,CHECKMATE,h2h3 g8h6 f2f3 h8g8 b1c3 g8h8 d2d4 h6g8 e1f2 g8f6 a2a3 h8g8 h1h2 g8h8 b2b3 h8g8 f3f4 g8h8 c3a2 h8g8 c2c3 g8h8 g1f3 h8g8 f4f5 g8h8 a1b1 h8g8 g2g4 g8h8 b3b4 h8g8 f2e1 g8h8 c1h6 g7h6 f3g5 h6g5 e2e3 h8g8 f1b5 g8h8 b5f1 h8g8 f1d3 h7h6 b1b2 g8h8 d3c4 h8g8 a3a4 g8h8 a2c1 h8g8 c4e6 f7e6 b2c2 e6f5 e1f2 f6e4 f2f3 g8h8 d1e2 h8g8 h2f2 e4f2 e3e4 f2h3 e2b5 h3g1 f3e3 f5g4 e3d2 g1f3 d2d3 f3e1 d3e2 e1c2 e2f1 c2e3 f1g1 g8h8 b5a6 b8a6 c1a2 h8g8 e4e5 g8h8 e5e6 d7e6 c3c4 d8d4 a4a5 d4c4 g1h1 c4a2 h1g1 a2g2,98,49,49,7.764267800012021,4e-05,0.0,0.158141,7.75
minimax_depth_2,random_v1,1-0,CHECKMATE,g1h3 b8a6 h3g5 a6b8 g5e4 e7e6 e4g3 f8c5 f2f3 g8e7 g3h5 e7d5 h5g7 e8e7 g7h5 d8e8 h5g7 a7a6 g7e8 c5b6 e8g7 h8d8 g7h5 d5c3 b1c3 e7d6 h5g7 d8e8 g7e8 d6e7 e8g7 c7c6 g7h5 f7f6 h5g7 h7h5 g7h5 a6a5 h5g7 e7f8 g7h5 b6d4 c3e4 b8a6 h5f4 d7d5 f4g6 f8g7 e4f6 b7b5 f6d5 d4b2 c1b2 g7h7 g6f8 h7h6 d5e7 a6b8 e7c8 e6e5 b2e5 a8a7 c8a7 h6g5 e5b8 g5h4 a7c6 h4h5 c6a5 b5b4 f8h7 b4b3 a5b3 h5h6 h7f8 h6g7 f8d7 g7h7 b8c7 h7g7 d7b8 g7f7 b8d7 f7g6 d7f8 g6g5 f8h7 g5g6 h7f8 g6h6 c7d8 h6g7 f8d7 g7h6 d8e7 h6h5 e7f8 h5g5 f8g7 g5g6 g7h8 g6h7 h8f6 h7g6 f6h8 g6h6 d7f8 h6g5 h8g7 g5h4 f8h7 h4h5 h7f8 h5h4 f8h7 h4h5 g7f6 h5g6 h7f8 g6h5 f8h7 h5h6 h1g1 h6g6 h7f8 g6f5 f8h7 f5e6 f6h8 e6e7 h8g7 e7e6 h7f8 e6d5 f8h7 d5c4 h7f8 c4b4 f8h7 b4c4 h7f8 c4d5 b3a5 d5c5 f8h7 c5b6 g7c3 b6c7 h7f8 c7d6 f8h7 d6e6 h7f8 e6d6 f8h7 d6e6 a5b7 e6d5 h7f8 d5c4 e2e4,161,81,80,9.413384899991797,0.115779,9.38,4e-05,0.0
random_v1,minimax_depth_2,0-1,CHECKMATE,c2c3 g8h6 g2g4 h6g4 d1b3 h8g8 f1h3 g4h6 h3g2 g8h8 e1f1 h8g8 a2a4 g8h8 f2f4 h8g8 f1f2 h6g4 f2g3 g4h6 e2e3 h6f5 g3f2 g8h8 g1f3 h8g8 b3d1 g8h8 d1c2 f5h6 g2f1 h6g4 f2g2 h7h6 f1b5 h8g8 f3g5 h6g5 b5c4 g5f4 c4d5 f4e3 g2g1 e3d2 c2e4 d2c1q e4e1 c1e1 g1g2 g4e3 g2h3 g8h8,52,26,26,6.133666900001117,4.9e-05,0.0,0.235513,6.12
minimax_depth_2,random_v1,1-0,CHECKMATE,g1h3 b7b6 h3g5 b8c6 g5e4 h7h6 e4g3 a7a6 g3h5 c6b8 h5f4 e7e6 f4h5 d8e7 h5f4 e7g5 f4h3 g5d8 h3f4 a8a7 f4h5 d8f6 h5f6 g7f6 h1g1 f8d6 h2h3 e6e5 g1h1 e8e7 h1h2 h8h7 h2h1 d6b4 h1h2 h6h5 h2h1 h7h8 h1h2 b4a3 b1a3 d7d6 h3h4 a7a8 a3c4 c8h3 h2h3 g8h6 c4e3 e7e8 h3g3 b8c6 g3g7 a6a5 g7g3 h8f8 g3g7 c6d4 g7h7 d4c2 e3c2 h6g8 h7h5 a8d8 h5h8 e8e7 h8h7 d8d7 h7h8 e7e6 h8h7 f8d8 h7h8 c7c5 h8h7 d7c7 h7h8 d8d7 h8g8 c7c8 g8c8 d7d8 c8d8 b6b5 d8h8 e5e4 h8g8 e6e7 g8h8 e7e6 h8g8 e6d7 a1b1 d7c7 g8h8 c7d7 h8g8 e4e3 c2e3 d7c6 g8h8 c6b6 h8g8 b6a7 g8h8 c5c4 h8g8 a7b7 g8h8 f6f5 e3f5 c4c3 f5d6 b7a6 d2c3 b5b4 h8a8 a6b6 a8b8 b6c5 b8c8 c5b6 c8b8 b6c6 d6f7 a5a4 d1d6,127,64,63,7.505354699998861,0.116942,7.48,4.2e-05,0.0
