ai,wins,draws,losses,win_rate,draw_rate,loss_rate,average_game_length,average_search_time,total_search_time
minimax_depth_2,4,0,0,100.0,0.0,0.0,57.0,0.126316,28.8
random_v1,0,0,4,0.0,0.0,100.0,57.0,4.4e-05,0.01
