ai,wins,draws,losses,win_rate,draw_rate,loss_rate,average_game_length,average_search_time,total_search_time
minimax_depth_2,3,1,0,75.0,25.0,0.0,36.5,0.172808,25.23
random_v1,0,1,3,0.0,25.0,75.0,36.5,0.0,0.0
